G102252C,Galaxy Tab A9 WIFI 64GB Silver,N,Y,Device
G102253A,Galaxy Tab A9+ WIFI 64GB Blue,N,Y,Device
G102253B,Galaxy Tab A9+ WIFI 64GB Grey,N,Y,Device
G102253C,Galaxy Tab A9+ WIFI 64GB Silver,N,Y,Device
G102254A,Galaxy A05s 64GB Black,N,Y,Device
G102254B,Galaxy A05s 64GB Green,N,Y,Device
G102254C,Galaxy A05s 64GB Silver,N,Y,Device
G102255A,Galaxy A15 128GB Black,N,Y,Device
G102255B,Galaxy A15 128GB Blue,N,Y,Device
G102255C,Galaxy A15 128GB Yellow,N,Y,Device
G102256A,Samsung 25W Super Fast Charging Travel Adapter - Black,N,Y,Device
G102257A,Samsung 25W Super Fast Charging Travel Adapter - White,N,Y,Device
G102274A,Galaxy A35 128GB Blue,N,Y,Device
G102274B,Galaxy A35 128GB Navy,N,Y,Device
G102274C,Galaxy A35 128GB Yellow,N,Y,Device
G102274D,Galaxy A35 128GB Lilac,N,Y,Device
G102275A,Galaxy A55 128GB Blue,N,Y,Device
G102275B,Galaxy A55 128GB Navy,N,Y,Device
G102275C,Galaxy A55 128GB Yellow,N,Y,Device
G102275D,Galaxy A55 128GB Lilac,N,Y,Device
G102276A,Galaxy SmartTag2 Black,N,Y,Device
G102276B,Galaxy SmartTag2 White,N,Y,Device
G102277A,MacBook Air 13.6 Inch M3 256GB (2024) - Space Grey,N,Y,Device
G102277B,MacBook Air 13.6 Inch M3 8GB RAM 256GB (2024) - Silver,N,Y,Device
G102277C,MacBook Air 13.6 Inch M3 8GB RAM 256GB (2024) - Starlight,N,Y,Device
G102277D,MacBook Air 13.6 Inch M3 8GB RAM 256GB (2024) - Midnight,N,Y,Device
G102282,No Router Required,N,Y,Device
G102283,No Router Required,N,Y,Device
G102284,No Router Required,N,Y,Device
G102285A,Google Pixel 8a 128GB - Black,N,Y,Device
G102298A,Galaxy Z Flip6 256GB Blue,N,Y,Device
G102298B,Galaxy Z Flip6 256GB Yellow,N,Y,Device
G102298C,Galaxy Z Flip6 256GB Green,N,Y,Device
